temperature_celsius,wind_kph,precip_mm,humidity,cluster
30.9,11.9,0.0,61,1
29.9,12.6,0.0,64,1
32.4,5.4,0.0,54,1
31.9,5.4,0.0,57,1
28.3,4.3,0.0,55,1
27.7,4.0,0.0,72,1
29.0,6.1,0.0,79,0
23.7,3.6,0.0,59,1
34.0,11.2,0.0,60,1
29.2,6.1,0.1,73,1
27.0,5.0,0.2,74,1
26.7,3.6,0.0,57,1
29.6,3.6,0.1,75,1
24.6,5.0,0.1,67,1
23.8,3.6,0.0,61,1
33.0,6.1,0.0,67,1
31.4,3.6,0.0,66,1
30.4,3.6,0.1,75,1
26.0,19.1,0.0,58,2
28.4,9.7,0.0,58,1
30.5,9.4,0.0,52,1
29.8,10.8,0.0,55,1
30.8,3.6,0.0,61,1
29.5,12.2,0.0,58,1
28.7,9.4,0.0,58,1
32.1,3.6,0.1,58,1
28.4,12.2,0.0,56,1
30.4,20.9,0.0,56,2
30.3,10.1,0.0,53,1
30.1,9.0,0.0,56,1
28.7,20.5,0.0,48,1
30.2,10.4,0.0,54,1
30.5,10.4,0.0,54,1
30.7,7.9,0.0,53,1
30.6,9.4,0.0,54,1
28.6,6.1,0.0,58,1
26.3,6.1,0.0,59,1
27.9,3.6,0.1,63,1
4.0,13.0,0.0,48,3
30.5,7.9,0.0,63,1
30.5,5.8,0.0,60,1
26.1,4.0,0.0,64,1
23.5,6.8,0.0,60,1
15.2,13.3,0.0,63,3
13.4,10.8,0.1,65,3
28.8,10.8,0.0,58,1
29.6,14.0,0.0,66,1
32.8,5.4,0.0,50,1
28.3,6.1,0.0,71,1
28.6,3.6,0.0,69,1
29.0,11.2,0.1,75,1
29.7,8.6,0.0,53,1
29.0,15.1,0.0,62,1
32.3,6.1,0.0,52,1
31.0,6.8,0.0,52,1
30.0,9.0,0.1,75,1
27.6,19.8,0.0,79,2
33.7,9.0,0.1,52,1
33.6,7.6,0.0,52,1
33.1,10.1,0.0,55,1
21.4,8.6,0.0,69,0
31.6,3.6,0.0,64,1
33.4,14.4,0.0,49,1
33.6,12.6,0.0,51,1
33.8,10.1,0.0,44,1
32.3,10.4,0.0,48,1
31.5,4.0,0.1,65,1
34.0,11.2,0.2,60,1
27.3,5.8,0.2,68,1
32.1,7.6,0.0,53,1
29.0,3.6,0.0,84,0
29.0,3.6,0.2,84,0
32.7,4.7,0.0,50,1
33.5,9.4,0.0,45,1
34.4,10.8,0.0,41,1
34.2,6.1,0.0,43,1
30.4,4.0,0.1,61,1
30.9,4.3,0.2,59,1
34.5,8.3,0.0,42,1
34.6,4.0,0.0,42,1
30.2,3.6,0.5,60,1
34.7,3.6,0.0,42,1
35.2,11.5,0.0,40,1
33.7,7.9,0.0,44,1
27.8,11.2,0.0,54,1
27.4,11.9,0.0,54,1
29.5,16.9,0.0,53,1
25.3,11.2,0.0,60,1
27.1,23.8,0.0,57,2
27.7,17.6,0.0,60,2
30.5,19.1,0.0,48,1
27.1,18.7,0.0,60,2
27.8,15.1,0.1,63,1
29.6,17.3,0.0,52,1
28.1,20.5,0.0,53,2
29.0,11.2,0.0,75,1
29.1,22.3,0.0,50,2
25.2,14.0,0.0,62,1
27.2,13.3,0.0,63,1
30.4,20.5,0.0,47,1
29.0,13.0,0.0,58,1
25.6,18.0,0.0,67,2
29.0,18.4,0.0,53,1
27.6,15.1,0.0,65,1
27.1,15.1,0.0,55,1
27.3,15.1,0.0,59,1
29.1,15.5,0.0,50,1
27.7,19.8,0.0,54,2
26.0,9.0,0.0,70,1
29.3,10.4,0.1,65,1
28.7,24.5,0.0,62,2
28.0,13.3,0.0,64,1
28.3,19.4,0.0,62,2
28.4,17.3,0.0,65,2
28.6,10.1,0.0,58,1
25.0,12.2,0.0,68,1
26.4,15.8,0.0,64,2
28.8,13.3,0.0,60,1
29.1,20.5,0.0,59,2
28.0,3.6,0.0,71,1
30.0,22.0,0.0,70,2
27.3,16.6,0.0,71,2
28.5,22.7,0.0,63,2
28.6,15.1,0.0,65,1
27.7,10.1,0.0,58,1
27.5,16.6,0.0,61,1
27.0,13.0,0.2,84,2
27.0,13.0,0.1,84,2
30.0,22.0,0.1,70,2
30.5,12.2,0.0,61,1
25.7,12.2,0.0,65,1
30.0,10.8,0.0,62,1
33.4,10.8,0.0,49,1
32.9,8.6,0.0,50,1
32.3,9.4,0.0,52,1
32.7,10.8,0.0,54,1
33.2,10.8,0.0,48,1
34.6,3.6,0.0,45,1
30.3,7.9,0.0,56,1
29.6,9.7,0.0,61,1
32.1,20.2,0.0,48,1
31.1,36.4,0.0,50,2
30.4,16.9,0.0,54,1
34.6,17.3,0.0,41,1
30.4,26.6,0.0,51,2
30.3,32.0,0.0,51,2
34.6,15.8,0.0,41,1
29.1,27.7,0.0,56,2
32.5,22.0,0.0,45,1
32.5,26.6,0.0,43,2
28.5,18.7,0.0,57,2
30.2,19.1,0.0,52,1
29.7,21.6,0.0,54,2
30.0,16.9,0.0,66,2
30.1,21.2,0.0,54,2
29.3,25.6,0.0,55,2
27.0,22.3,0.0,61,2
27.9,22.3,0.0,58,2
32.5,16.9,0.0,47,1
28.1,19.4,0.0,60,2
27.8,22.7,0.0,63,2
27.9,25.9,0.0,59,2
33.0,22.0,0.4,59,2
34.0,6.8,0.4,50,1
33.0,22.0,0.6,59,2
32.4,14.0,0.0,47,1
31.2,23.0,0.0,59,2
32.9,3.6,0.0,46,1
31.3,13.7,0.0,58,1
33.0,22.0,0.2,59,2
29.3,6.8,0.0,60,1
34.0,6.8,0.0,50,1
32.2,15.1,0.1,48,1
29.5,18.0,0.0,48,1
29.2,6.8,0.1,62,1
30.6,6.1,0.1,65,1
31.7,9.4,0.0,60,1
32.2,9.0,0.0,56,1
32.5,9.0,0.3,53,1
32.2,16.6,0.0,52,1
32.0,8.6,0.1,58,1
32.3,14.4,0.0,51,1
32.7,15.5,0.0,49,1
33.0,14.4,0.0,48,1
31.2,7.9,0.2,63,1
29.3,4.7,0.1,70,1
31.5,5.4,0.2,62,1
32.7,13.0,0.0,47,1
31.8,16.6,0.0,53,1
31.2,13.7,0.0,60,1
34.2,11.2,0.1,51,1
31.4,9.7,0.1,61,1
29.4,11.9,0.0,65,1
30.1,4.7,0.4,69,1
32.9,18.7,0.0,48,1
32.8,18.4,0.0,48,1
32.0,14.8,0.4,58,1
30.6,8.3,0.1,66,1
34.9,14.0,0.0,39,1
32.2,14.4,0.0,59,1
32.6,8.6,0.4,55,1
32.9,14.8,0.0,53,1
31.5,13.7,0.0,56,1
29.8,13.7,0.0,65,1
30.4,16.9,0.0,58,1
29.0,18.0,0.0,59,2
32.5,17.6,0.0,49,1
29.1,15.1,0.0,69,2
32.0,7.9,0.3,58,1
32.1,17.3,0.0,58,1
31.0,15.1,0.1,66,1
31.1,18.7,0.0,55,1
32.1,11.9,0.0,60,1
31.6,7.6,0.0,58,1
32.1,12.6,0.0,58,1
31.8,15.1,0.1,59,1
31.2,7.9,0.0,62,1
30.2,6.5,0.0,64,1
32.5,18.0,0.0,50,1
32.8,17.3,0.0,46,1
30.2,13.0,0.1,66,1
30.0,9.0,0.2,89,0
30.4,16.6,0.1,66,2
30.0,9.0,0.0,89,0
30.6,21.2,0.3,61,2
30.7,14.0,0.1,61,1
29.2,15.1,0.0,68,1
30.1,19.1,0.1,59,2
31.7,17.3,0.0,54,1
28.0,17.6,0.3,65,2
30.9,13.7,0.0,61,1
30.3,13.3,0.0,50,1
30.7,6.1,0.0,55,1
29.0,19.4,0.0,62,2
31.5,8.3,0.0,50,1
29.8,18.0,0.0,56,1
31.9,20.5,0.0,50,1
29.4,18.0,0.0,57,1
26.6,22.7,0.0,64,2
30.1,21.2,0.0,57,2
28.0,15.1,0.0,66,1
29.4,9.0,0.0,61,1
27.7,11.2,0.0,68,1
28.0,12.2,0.1,70,1
28.6,12.2,0.0,62,1
31.0,13.0,0.0,49,1
28.8,17.3,0.2,66,2
27.7,9.0,0.0,69,1
27.3,11.5,0.0,72,1
28.0,9.0,0.0,67,1
31.1,11.5,0.0,58,1
29.6,14.4,0.0,59,1
31.1,12.2,0.0,54,1
27.0,24.1,0.3,74,2
30.3,18.0,0.2,54,1
30.1,5.8,0.0,65,1
30.0,6.1,0.1,84,0
33.5,12.6,0.0,56,1
30.5,3.6,0.0,71,1
33.1,13.0,0.0,51,1
32.2,18.7,0.0,48,1
31.7,13.3,0.0,52,1
24.8,12.6,0.0,64,1
25.6,18.0,0.0,71,2
25.0,15.1,0.0,79,2
25.0,15.8,0.0,75,2
23.9,5.8,0.0,78,0
26.1,10.4,0.0,74,1
27.0,15.1,0.2,79,2
25.8,13.7,0.0,73,2
27.4,19.4,0.0,70,2
23.0,15.1,0.0,89,2
28.2,13.0,0.4,68,1
27.9,4.7,0.6,73,1
26.0,8.6,0.0,81,0
25.1,9.7,0.0,74,1
28.4,16.9,0.0,65,2
24.0,19.4,0.0,84,2
26.1,12.2,0.0,71,1
25.1,20.5,0.0,75,2
24.3,19.8,0.0,78,2
27.1,19.1,0.0,69,2
25.7,15.5,0.0,72,2
24.7,20.5,0.0,78,2
28.5,14.4,0.0,63,1
27.6,21.6,0.0,68,2
29.0,23.0,0.0,62,2
25.0,18.7,0.0,80,2
21.6,8.6,0.0,91,0
26.0,14.8,0.0,72,2
25.3,8.3,0.6,82,0
28.3,24.5,0.0,65,2
26.6,15.1,0.0,73,2
30.0,16.9,0.0,70,2
27.7,8.6,0.3,72,1
26.1,19.4,0.0,74,2
28.7,19.4,0.0,60,2
24.9,11.2,0.4,84,0
24.5,20.2,0.0,77,2
25.8,19.8,0.0,75,2
27.9,21.6,0.0,67,2
26.4,4.0,0.0,71,1
25.5,6.8,0.0,71,1
25.7,8.3,0.5,77,0
27.0,5.4,0.0,73,1
18.5,3.6,0.0,67,3
30.6,11.2,0.2,59,1
19.3,5.0,0.0,66,0
28.5,3.6,0.0,59,1
21.1,4.0,0.0,63,1
21.2,3.6,0.0,63,1
30.6,19.4,0.0,55,1
27.9,3.6,0.0,61,1
14.9,3.6,0.0,49,3
21.3,3.6,0.0,39,1
5.9,4.3,0.0,26,3
19.2,3.6,0.0,51,1
18.8,3.6,0.0,60,3
19.2,3.6,0.0,52,1
22.8,3.6,0.0,56,1
29.9,20.9,0.0,58,2
18.2,3.6,0.0,60,3
27.7,3.6,0.0,62,1
27.6,3.6,0.0,64,1
13.8,3.6,0.0,37,3
16.9,3.6,0.0,61,3
26.5,6.5,0.1,83,0
27.6,9.0,0.0,70,1
28.0,6.8,0.0,84,0
28.3,20.2,0.0,58,2
27.4,11.5,0.0,65,1
28.0,14.8,0.0,60,1
28.2,11.5,0.0,62,1
27.0,8.6,0.0,63,1
27.0,9.0,0.0,84,0
27.4,11.5,0.0,69,1
27.5,12.6,0.0,67,1
28.0,11.2,0.0,67,1
27.5,9.0,0.0,70,1
27.0,7.6,0.0,64,1
27.0,18.0,0.1,72,2
26.7,6.5,0.1,81,0
26.9,7.2,0.1,79,0
27.9,19.8,0.0,62,2
27.4,15.1,0.0,67,2
27.0,11.2,0.0,84,0
26.4,5.8,0.1,82,0
32.0,6.1,0.0,52,1
30.1,6.8,0.0,60,1
32.0,3.6,0.2,53,1
30.5,11.2,0.0,55,1
30.1,10.1,0.0,62,1
27.4,11.2,0.0,63,1
30.3,5.8,0.0,56,1
28.2,19.4,0.0,59,2
30.6,18.4,0.3,56,1
31.3,7.9,0.0,51,1
29.0,6.8,0.0,75,1
27.6,3.6,0.0,61,1
28.4,8.6,0.0,66,1
29.0,11.2,0.0,66,1
27.7,5.8,0.0,59,1
29.4,7.2,0.0,57,1
29.8,8.3,0.0,56,1
26.1,3.6,0.0,60,1
30.6,6.5,0.0,60,1
30.9,7.2,0.0,57,1
30.8,6.5,0.0,52,1
31.2,8.3,0.0,56,1
29.6,6.8,0.0,58,1
30.4,7.6,0.0,55,1
26.4,3.6,0.0,59,1
26.5,10.4,0.1,74,1
32.0,13.0,0.0,80,2
31.5,8.3,0.0,56,1
31.3,7.6,0.0,63,1
31.6,8.3,0.0,63,1
25.0,11.2,0.0,72,1
31.2,11.9,0.0,56,1
30.6,5.0,0.0,66,1
31.2,4.7,0.0,61,1
31.5,7.9,0.0,59,1
30.9,3.6,0.0,62,1
31.0,3.6,0.0,61,1
30.7,3.6,0.0,65,1
29.4,10.1,0.0,67,1
28.7,6.5,0.0,57,1
31.3,6.5,0.0,60,1
31.5,9.0,0.0,59,1
30.3,10.4,0.0,62,1
31.0,10.8,0.0,57,1
31.2,10.8,0.0,57,1
31.4,10.1,0.0,57,1
31.0,9.0,0.0,55,1
31.3,10.1,0.0,57,1
31.6,7.9,0.0,61,1
30.0,11.2,0.0,66,1
27.7,3.6,0.0,71,1
31.5,18.7,0.0,49,1
30.3,7.2,0.0,56,1
29.2,7.6,0.0,63,1
31.2,8.6,0.0,51,1
29.7,8.3,0.0,60,1
30.7,20.2,0.0,52,1
32.2,9.7,0.0,44,1
32.5,14.0,0.0,44,1
32.5,16.6,0.0,45,1
30.6,20.2,0.0,52,1
31.3,11.9,0.0,50,1
28.3,5.0,0.0,64,1
27.2,3.6,0.0,78,0
27.3,22.0,1.6,79,2
27.2,3.6,0.0,60,1
30.4,8.6,0.0,54,1
11.3,7.2,0.0,75,3
29.6,7.6,0.0,75,1
31.0,6.8,0.0,79,1
30.2,7.2,0.0,71,1
30.9,4.0,0.0,72,1
30.0,9.0,0.0,75,1
28.4,4.0,0.0,76,1
29.4,3.6,0.0,71,1
23.2,3.6,0.0,77,0
23.7,3.6,0.0,84,0
29.2,3.6,0.0,77,1
28.9,7.2,0.0,78,1
29.1,3.6,0.0,77,1
31.0,4.0,0.0,75,1
28.5,14.8,0.1,69,1
29.1,12.6,0.0,68,1
27.2,9.7,0.0,76,1
29.4,3.6,0.1,67,1
27.3,3.6,0.3,72,1
23.5,3.6,0.0,82,0
27.1,3.6,0.0,78,0
29.0,6.1,0.0,89,0
21.6,3.6,0.6,80,0
30.0,11.2,0.0,84,0
29.0,6.1,0.1,89,0
29.3,4.3,0.0,74,1
27.7,4.3,0.0,66,1
24.4,3.6,0.1,73,0
29.0,3.6,0.0,76,1
35.0,3.6,0.0,65,1
23.0,3.6,0.1,74,0
31.0,4.3,0.0,69,1
29.0,4.0,0.0,76,1
29.8,4.0,0.0,76,1
24.0,19.1,0.0,69,2
25.5,5.4,0.0,72,1
28.3,5.4,0.0,60,1
26.4,6.5,0.0,71,1
27.6,3.6,0.0,72,1
26.6,9.7,0.0,72,1
26.6,5.0,0.1,67,1
29.5,4.7,0.1,70,1
25.2,5.4,0.1,71,1
28.5,19.1,0.0,61,2
27.9,7.6,0.0,65,1
26.3,16.2,0.0,62,2
27.9,7.2,0.0,65,1
28.5,3.6,0.0,63,1
28.4,4.7,0.0,62,1
28.3,3.6,0.0,62,1
26.5,3.6,0.0,64,1
24.0,3.6,0.0,69,1
25.2,3.6,0.0,74,0
2.9,4.3,0.0,54,3
27.9,3.6,0.0,68,1
27.6,3.6,0.0,66,1
21.6,3.6,0.0,74,0
21.6,3.6,0.0,67,0
14.1,6.1,0.0,57,3
12.6,5.4,0.0,58,3
26.1,5.4,0.9,71,1
27.2,10.1,0.0,76,1
26.9,6.1,0.2,77,0
26.3,16.2,3.7,84,2
26.0,6.1,4.0,94,0
26.3,15.1,3.0,82,2
27.0,6.8,0.5,84,0
25.1,10.4,0.0,75,0
27.0,11.2,0.1,79,0
26.1,6.1,1.3,85,0
26.0,6.1,0.8,94,0
27.0,11.2,0.4,79,0
25.0,19.1,0.4,89,2
27.0,11.2,0.0,79,0
28.1,25.6,0.1,76,2
32.1,7.6,0.0,56,1
31.9,3.6,0.0,56,1
31.9,6.8,0.0,56,1
20.1,4.7,0.0,79,0
29.9,3.6,0.0,69,1
30.8,9.7,0.0,61,1
32.2,9.0,0.0,55,1
31.7,8.3,0.0,52,1
29.3,8.3,0.0,73,1
27.6,3.6,0.0,65,1
29.2,6.1,0.0,62,1
28.0,3.6,0.0,84,0
30.3,3.6,0.0,56,1
30.6,5.0,0.0,54,1
31.2,7.2,0.0,48,1
31.3,4.7,0.0,48,1
29.6,3.6,0.0,61,1
29.4,3.6,0.0,63,1
31.7,6.8,0.0,48,1
33.7,4.3,0.0,41,1
30.4,3.6,0.0,59,1
33.5,4.7,0.0,43,1
34.7,9.7,0.0,38,1
33.2,6.1,0.0,44,1
27.1,8.6,0.4,68,1
26.6,11.2,0.0,59,1
26.0,12.6,0.0,61,1
29.6,10.1,0.0,50,1
24.5,10.8,0.0,63,1
26.0,21.6,0.0,61,2
25.9,14.0,0.0,68,1
28.5,17.6,0.0,58,1
25.3,11.9,0.0,68,1
27.2,14.0,0.0,61,1
29.8,11.5,0.0,47,1
26.0,15.5,0.0,63,1
27.0,6.8,0.1,84,0
27.7,15.8,0.0,55,1
23.9,14.8,0.0,71,2
25.3,11.5,0.0,73,1
29.0,16.6,0.0,54,1
30.0,15.1,0.0,59,1
26.2,14.8,0.0,58,1
24.5,11.2,0.0,72,1
27.2,15.5,0.0,62,1
27.4,16.6,0.0,67,2
25.0,9.0,0.3,71,1
26.9,14.0,0.0,63,1
29.6,10.8,0.0,47,1
28.2,11.9,0.0,55,1
24.0,9.0,0.0,78,0
28.3,12.2,0.0,70,1
28.3,15.5,0.0,63,1
27.9,15.5,0.0,64,1
26.3,14.0,0.0,69,1
28.4,14.0,0.0,63,1
28.3,10.8,0.0,61,1
24.3,4.7,0.0,67,1
25.3,8.3,0.0,67,1
28.7,12.2,0.0,58,1
27.7,20.2,0.0,67,2
27.5,3.6,0.0,76,0
27.3,13.3,0.0,68,1
26.7,20.5,0.0,74,2
28.1,15.8,0.0,64,1
27.7,7.2,0.0,73,1
27.7,14.4,0.0,62,1
27.1,11.2,0.0,67,1
28.0,6.8,0.2,89,0
27.8,5.8,0.1,75,1
28.0,6.8,0.0,89,0
28.0,9.0,0.0,74,1
29.9,7.6,0.0,61,1
25.0,8.3,0.0,67,1
29.1,5.0,0.0,66,1
32.7,8.3,0.0,52,1
29.6,3.6,0.0,66,1
33.4,9.0,0.0,48,1
28.2,6.5,0.0,66,1
31.4,6.1,0.0,54,1
32.2,6.5,0.0,55,1
32.1,7.9,0.0,49,1
29.6,3.6,0.0,58,1
34.2,3.6,0.0,45,1
29.0,4.0,0.0,59,1
29.8,4.3,0.0,59,1
27.1,6.5,0.0,70,1
31.6,22.3,0.0,48,2
29.3,28.1,0.0,56,2
30.0,19.1,0.0,53,1
34.4,13.0,0.0,39,1
31.0,23.8,0.0,49,2
28.8,24.8,0.0,57,2
34.7,10.8,0.0,37,1
29.3,24.1,0.0,59,2
32.5,23.0,0.0,47,2
26.3,20.9,0.0,73,2
27.7,13.3,0.0,63,1
30.4,16.9,0.0,52,1
29.3,17.3,0.0,56,1
29.0,15.1,0.0,70,2
29.7,17.3,0.0,55,1
28.5,22.7,0.0,65,2
26.6,13.3,0.0,69,1
27.9,22.3,0.0,61,2
31.9,16.6,0.0,51,1
27.6,18.0,0.0,69,2
27.1,15.5,0.0,67,2
30.4,19.4,0.0,51,1
27.9,17.3,0.0,65,2
28.0,28.1,0.0,84,2
30.1,13.7,0.0,57,1
30.5,15.1,0.0,58,1
30.4,8.3,0.0,53,1
29.5,16.6,0.1,65,2
28.2,7.2,0.1,69,1
29.9,18.7,0.0,59,2
29.6,16.9,0.0,52,1
28.6,9.7,0.0,67,1
30.4,5.0,0.0,63,1
31.0,7.9,0.0,60,1
31.9,3.6,0.0,55,1
31.5,5.8,0.1,62,1
31.3,10.4,0.0,57,1
31.4,5.0,0.0,59,1
31.2,11.2,0.0,56,1
32.2,14.4,0.0,52,1
32.0,9.7,0.0,54,1
29.8,9.4,0.0,65,1
31.0,3.6,0.0,65,1
30.6,3.6,0.0,63,1
31.0,5.4,0.0,63,1
32.4,19.4,0.0,49,1
32.3,13.0,0.0,52,1
31.6,12.2,0.0,56,1
32.9,4.3,0.0,55,1
31.5,3.6,0.0,58,1
31.7,12.6,0.0,55,1
30.2,5.8,0.0,69,1
32.1,19.4,0.0,52,1
32.1,19.1,0.0,51,1
32.5,8.3,0.1,57,1
30.6,3.6,0.0,67,1
34.1,11.5,0.0,40,1
31.8,8.3,0.0,60,1
32.3,9.4,0.0,58,1
30.4,7.6,0.0,65,1
30.8,10.4,0.0,54,1
31.1,11.5,0.2,62,1
29.7,18.4,0.0,60,2
28.0,11.9,0.0,67,1
32.0,21.2,0.0,51,2
31.5,10.4,0.2,61,1
32.0,8.3,0.2,59,1
31.5,10.8,0.0,61,1
30.9,21.6,0.0,56,2
32.3,3.6,0.1,59,1
30.5,8.3,0.0,60,1
31.6,10.4,0.0,57,1
30.0,8.6,0.0,64,1
29.2,3.6,0.0,66,1
31.6,23.0,0.0,54,2
31.8,18.7,0.0,51,1
30.7,9.7,0.0,64,1
32.2,12.6,0.0,48,1
30.0,13.0,0.0,79,2
29.3,16.2,0.0,66,2
29.4,19.1,0.0,62,2
29.3,12.2,0.1,67,1
31.4,11.2,0.2,61,1
29.7,20.5,0.0,61,2
28.7,18.4,0.0,62,2
31.7,11.2,0.0,60,1
30.3,12.2,0.0,52,1
29.6,8.6,0.0,62,1
28.5,16.9,0.0,61,1
31.6,17.3,0.0,50,1
29.4,15.1,0.0,57,1
30.5,21.6,0.0,57,2
30.2,17.3,0.0,53,1
25.5,18.7,0.0,79,2
30.0,19.8,0.0,57,2
27.0,6.8,0.0,74,1
29.0,9.4,0.0,65,1
28.7,11.9,0.0,66,1
27.5,11.2,0.0,70,1
27.7,13.7,0.0,66,1
29.9,12.2,0.0,52,1
28.1,14.0,0.0,68,1
28.2,14.0,0.0,65,1
28.1,12.2,0.0,70,1
28.7,7.9,0.0,67,1
30.2,13.0,0.0,61,1
28.6,14.0,0.0,63,1
29.7,12.6,0.0,58,1
26.0,15.1,0.0,89,2
29.2,6.1,0.0,54,1
31.1,5.0,0.0,65,1
28.8,3.6,0.0,56,1
32.3,5.0,0.0,59,1
30.9,3.6,0.0,72,1
31.3,6.5,0.0,66,1
26.3,18.7,0.0,71,2
34.3,5.4,0.0,44,1
32.4,9.4,0.0,54,1
33.4,9.7,0.0,51,1
25.9,3.6,0.0,70,1
